[2026-01-06T16:22:46.604+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3149, completion-tokens, 106, total-tokens, 3255, cost-ms, 4451, requestId, cca86920-8ac9-9f46-9bbd-6788e57f622a, temperature, 0
[2026-01-06T16:22:55.212+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4248, completion-tokens, 104, total-tokens, 4352, cost-ms, 4893, requestId, 196ba4ae-6ee7-933c-9a83-80df0db81255, temperature, 0
[2026-01-07T11:40:00.312+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3149, completion-tokens, 106, total-tokens, 3255, cost-ms, 5577, requestId, f786c66f-597a-92cc-b449-f45c74d99718, temperature, 0
[2026-01-07T11:40:07.935+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4248, completion-tokens, 104, total-tokens, 4352, cost-ms, 3884, requestId, a4d423cc-eb7f-9489-a934-07c5b985fee2, temperature, 0
[2026-01-07T11:40:14.121+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4390, completion-tokens, 86, total-tokens, 4476, cost-ms, 3820, requestId, 95e617bc-d24d-9919-95c9-28dbff61fa0f, temperature, 0
[2026-01-07T11:40:32.837+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3150, completion-tokens, 106, total-tokens, 3256, cost-ms, 4044, requestId, fa6a665f-5db3-9044-be0f-785fea454cea, temperature, 0
[2026-01-07T11:40:41.247+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4249, completion-tokens, 104, total-tokens, 4353, cost-ms, 5059, requestId, b4509e8d-03d9-9826-8d64-ee6de720a8ae, temperature, 0
[2026-01-07T11:40:47.482+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4391, completion-tokens, 86, total-tokens, 4477, cost-ms, 4045, requestId, bef4901a-be3a-9baa-bcf9-4cd2e0b918c7, temperature, 0
[2026-01-07T11:41:15.441+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3131, completion-tokens, 106, total-tokens, 3237, cost-ms, 4007, requestId, b18db4bb-4c07-9959-a711-a8a357d24a4a, temperature, 0
[2026-01-07T11:41:58.652+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4230, completion-tokens, 33, total-tokens, 4263, cost-ms, 39931, requestId, 88e402f9-ee0a-9e0e-8580-4476c29ac3e9, temperature, 0
[2026-01-07T11:42:04.257+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3130, completion-tokens, 105, total-tokens, 3235, cost-ms, 5227, requestId, 9b21f63d-5678-99ec-a20d-caff75d663c0, temperature, 0
[2026-01-07T11:42:10.085+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3120, completion-tokens, 83, total-tokens, 3203, cost-ms, 3472, requestId, ecbb2ace-2986-9d61-a56d-74f037609df9, temperature, 0
